도로명,색상,도로 길이,시작지점,종착지점,경유 행정구역,좌표데이터
"강무로","#7777aa","2801m","효빈광역시 남구 항2동(항동1가)","효빈광역시 남구 항3동(항동1가)","효빈광역시 남구 항2동(항동1가) | 효빈광역시 남구 항3동(항동1가) | 효빈광역시 남구 항3동(어간동)","[-30377,3547]; [-30324,3774]; [-29886,4909]; [-29875,6260]"
"희산로","#7777aa","2771m","효빈광역시 남구 항2동(항동2가)","효빈광역시 남구 항3동(항동2가)","효빈광역시 남구 항2동(항동2가) | 효빈광역시 남구 항3동(항동2가) | 효빈광역시 남구 항3동(항동1가)","[-29316,4513]; [-29432,5531]; [-29522,5933]; [-29706,6803]; [-29680,7247]"
"항선로","#7777aa","931m","효빈광역시 남구 항2동(항동2가)","효빈광역시 남구 항2동(항동1가)","효빈광역시 남구 항2동(항동2가) | 효빈광역시 남구 항2동(항동1가)","[-29094,4613]; [-29300,4513]; [-30002,4534]"
"어천로","#7777aa","4651m","효빈광역시 남구 어간1동(어간동)","효빈광역시 남구 항4동(항동3가)","효빈광역시 남구 어간1동(어간동) | 효빈광역시 남구 어간2동(어간동) | 효빈광역시 남구 항4동(항동3가)","[-30793,4280]; [-30788,6218]; [-30772,6471]; [-30751,6598]; [-30756,6956]; [-30619,7431]; [-30608,8909]"
"어성로","#7777aa","2725m","효빈광역시 남구 항3동(항동2가)","효빈광역시 남구 어간3동(어간동)","효빈광역시 남구 항3동(항동2가) | 효빈광역시 남구 어간3동(어간동) | 효빈광역시 남구 어간2동(어간동)","[-29510,6983]; [-32235,6967]"
"문간로","#7777aa","2447m","효빈광역시 남구 어간1동(어간동)","효빈광역시 남구 항3동(항동2가)","효빈광역시 남구 어간1동(어간동) | 효빈광역시 남구 항3동(항동2가) | 효빈광역시 남구 항3동(항동1가)","[-30513,4069]; [-30487,5225]; [-30355,5595]; [-29457,5616]"
"구갈로","#7777aa","1988m","효빈광역시 남구 어간1동(어간동)","효빈광역시 남구 어간2동(어간동)","효빈광역시 남구 어간1동(어간동) | 효빈광역시 남구 어간2동(어간동)","[-30324,5582]; [-30504,6028]; [-30512,6958]; [-30602,7052]; [-30594,7374]; [-30610,7498]"
"중항로","#7777aa","1650m","효빈광역시 남구 항4동(항동3가)","효빈광역시 남구 어간2동(어간동)","효빈광역시 남구 항4동(항동3가) | 효빈광역시 남구 어간2동(어간동)","[-30069,7888]; [-30197,7804]; [-31694,7796]"
"괴성로","#7777aa","1463m","효빈광역시 남구 어간2동(어간동)","효빈광역시 남구 어간2동(어간동)","효빈광역시 남구 어간2동(어간동)","[-30471,6481]; [-31934,6497]"
"십덕로","#7777aa","1771m","효빈광역시 중구 내항동","효빈광역시 남구 월천동","효빈광역시 중구 내항동 | 효빈광역시 남구 월천동 | 효빈광역시 중구 고도동(십덕동)","[-30012,13726]; [-31783,13732]"
"현성로","#7777aa","2946m","효빈광역시 남구 월천동","효빈광역시 남구 월천동(포장동)","효빈광역시 남구 월천동 | 효빈광역시 남구 월천동(포장동) | 효빈광역시 남구 월천동(신흥동)","[-31206,14187]; [-31224,14151]; [-34130,14157]"
"고도로","#7777aa","1886m","효빈광역시 중구 고도동","효빈광역시 남구 월천동","효빈광역시 중구 고도동 | 효빈광역시 남구 월천동 | 효빈광역시 중구 고도동(십덕동)","[-29841,14448]; [-31727,14430]"
"내항동서로","#7777aa","1449m","효빈광역시 중구 내항동","효빈광역시 중구 고도동","효빈광역시 중구 내항동 | 효빈광역시 중구 고도동","[-29788,12762]; [-29776,14211]"
"라상로","#7777aa","2039m","효빈광역시 청엽구 등동","효빈광역시 청엽구 마잡2동(헌이송동)","효빈광역시 청엽구 등동 | 효빈광역시 청엽구 마잡2동(헌이송동)","[-32583,17114]; [-33561,18237]; [-34110,18212]"
"케손로","#7777aa","1508m","효빈광역시 북구 진희동","효빈광역시 북구 진희동(입희동)","효빈광역시 북구 진희동 | 효빈광역시 북구 진희동(입희동)","[-23721,22033]; [-23843,22007]; [-24002,22162]; [-24141,22290]; [-24633,22288]; [-24930,22286]; [-25113,22284]"
"소진로","#7777aa","3464m","효빈광역시 북구 진희동","효빈광역시 북구 청능동(입희동)","효빈광역시 북구 진희동 | 효빈광역시 북구 청능동(입희동)","[-23521,22533]; [-23838,22747]; [-24293,22610]; [-24413,22396]; [-24524,21787]; [-24773,21513]; [-24842,21213]; [-25906,21221]"
"고나미로","#7777aa","5517m","효빈광역시 안천구 뇌전동(팔월동)","효빈광역시 탄성군 탄성읍 공리","효빈광역시 안천구 뇌전동(팔월동) | 효빈광역시 탄성군 흑택면 은염리 | 효빈광역시 탄성군 도변읍 계층리 | 효빈광역시 탄성군 탄성읍 공리 | 효빈광역시 탄성군 흑택면 루비리 | 효빈광역시 탄성군 흑택면 보습리","[-31034,30678]; [-31231,31013]; [-31626,31167]; [-33273,31184]; [-33994,31862]; [-34200,31947]; [-36044,31999]"
"탄성남북로","#7777aa","19138m","효빈광역시 탄성군 탄성읍 고무리","효빈광역시 탄성군 서목읍 음일리","효빈광역시 탄성군 탄성읍 고무리 | 효빈광역시 탄성군 탄성읍 탄성리 | 효빈광역시 탄성군 탄성읍 공리 | 효빈광역시 탄성군 탄성읍 미성리 | 효빈광역시 탄성군 탄성읍 성규리 | 효빈광역시 탄성군 서목읍 서목리 | 효빈광역시 탄성군 서목읍 입리 | 효빈광역시 탄성군 서목읍 승남리 | 효빈광역시 탄성군 서목읍 일회리 | 효빈광역시 탄성군 서목읍 파래리 | 효빈광역시 탄성군 서목읍 음일리","[-36476,26623]; [-36485,27180]; [-36348,27480]; [-36382,30884]; [-36485,32402]; [-36622,32951]; [-36751,33028]; [-37309,32959]; [-37712,32685]; [-37926,32496]; [-38484,32436]; [-39745,31639]; [-40509,30927]; [-40655,30481]; [-40637,29281]; [-40809,29092]; [-41513,29101]; [-41509,29108]; [-41613,29117]; [-41908,29449]; [-42181,29471]; [-42561,29462]; [-43074,27876]; [-44045,28201]; [-45010,28516]; [-44864,28916]; [-45059,28981]"
"루비로","#7777aa","1141m","효빈광역시 탄성군 흑택면 루비리","효빈광역시 탄성군 흑택면 은염리","효빈광역시 탄성군 흑택면 루비리 | 효빈광역시 탄성군 흑택면 은염리","[-31862,30310]; [-33003,30327]"
"언성로","#7777aa","2675m","효빈광역시 탄성군 흑택면 은염리","효빈광역시 탄성군 도변읍 도변리","효빈광역시 탄성군 흑택면 은염리 | 효빈광역시 탄성군 도변읍 도변리 | 효빈광역시 탄성군 도변읍 계층리","[-33277,31219]; [-33269,33894]"
"포성로","#7777aa","4701m","효빈광역시 안천구 이십기동(추자동)","효빈광역시 탄성군 도변읍 조일리","효빈광역시 안천구 이십기동(추자동) | 효빈광역시 탄성군 도변읍 조일리 | 효빈광역시 탄성군 도변읍 잠재리","[-29582,35094]; [-34283,35120]"
"요우로","#7777aa","7048m","효빈광역시 탄성군 도변읍 요우리","덕빈북도 선곡군 귀총면 갑부리","효빈광역시 탄성군 도변읍 요우리 | 덕빈북도 선곡군 귀총면 갑부리 | 효빈광역시 탄성군 도변읍 잠재리","[-32113,32916]; [-32139,39964]"
"앵내로","#7777aa","1523m","효빈광역시 안천구 성저동","효빈광역시 탄성군 도변읍 앵내리","효빈광역시 안천구 성저동 | 효빈광역시 탄성군 도변읍 앵내리","[-30826,37709]; [-32001,36740]"
"창건로","#7777aa","3649m","효빈광역시 안천구 이십기동","효빈광역시 탄성군 도변읍 잠재리","효빈광역시 안천구 이십기동 | 효빈광역시 안천구 창건동 | 효빈광역시 탄성군 도변읍 잠재리","[-29333,36680]; [-30165,36706]; [-31058,36715]; [-31607,36569]; [-32962,36552]"
"앵내이자로","#7777aa","12232m","효빈광역시 탄성군 도변읍 잠재리","효빈광역시 안천구 이십기동(리의동)","효빈광역시 탄성군 도변읍 잠재리 | 효빈광역시 탄성군 도변읍 앵내리 | 덕빈북도 선곡군 귀총면 갑부리 | 효빈광역시 안천구 성저동 | 효빈광역시 안천구 이자4동(이자동) | 효빈광역시 안천구 칠채동(서수동) | 효빈광역시 안천구 이십기동(리의동) | 덕빈북도 선곡군 도변읍 갑부리 | 효빈광역시 안천구 칠채동(정치동) | 효빈광역시 안천구 이자1동(신동)","[-33254,35711]; [-32525,37906]; [-32636,38155]; [-32808,38147]; [-32722,39030]; [-32490,39261]; [-31049,39296]; [-28278,39270]; [-27506,38841]; [-27506,35677]"
"창건순환로","#7777aa","2352m","효빈광역시 안천구 이십기동","효빈광역시 안천구 이십기동","효빈광역시 안천구 이십기동 | 효빈광역시 안천구 창건동 | 효빈광역시 안천구 이자3동(탄자동) | 효빈광역시 안천구(탄자동)","[-29419,36668]; [-29522,36402]; [-29710,36303]; [-29950,36355]; [-30109,36569]; [-30156,36822]; [-30088,36938]; [-29972,37028]; [-29817,37088]; [-29590,37045]; [-29449,36912]; [-29414,36702]"
"육각로","#7777aa","1704m","효빈광역시 안천구 창건동","효빈광역시 안천구 창건동","효빈광역시 안천구 창건동 | 효빈광역시 안천구 이십기동(추자동)","[-29710,35454]; [-29831,35218]; [-30114,35227]; [-30255,35493]; [-30139,35733]; [-29835,35716]; [-29706,35463]"
"언산로","#7777aa","4414m","효빈광역시 안천구 창건동","효빈광역시 탄성군 고해읍 전추리","효빈광역시 안천구 창건동 | 효빈광역시 탄성군 고해읍 전추리 | 효빈광역시 안천구 성저동(이자동)","[-30298,35823]; [-30315,40222]; [-30300,40224]"
"개추로","#7777aa","10752m","효빈광역시 안천구 악부동(광상동)","효빈광역시 탄성군 고해읍 은진원리","효빈광역시 안천구 악부동(광상동) | 효빈광역시 탄성군 고해읍 은진원리 | 효빈광역시 안천구 칠채동","[-27081,35696]; [-27066,46448]"
"이자서로","#7777aa","2487m","효빈광역시 탄성군 소원면 윤부리","효빈광역시 안천구 이십기동(리의동)","효빈광역시 탄성군 소원면 윤부리 | 효빈광역시 안천구 이십기동(리의동) | 효빈광역시 안천구 이자1동(신동)","[-25657,36176]; [-26201,36352]; [-28115,36432]"
"이자천가로","#7777aa","9498m","효빈광역시 안천구 이자3동(이자동)","효빈광역시 탄성군 고해읍 정명리","효빈광역시 안천구 이자3동(이자동) | 효빈광역시 안천구 이자4동(이자동) | 효빈광역시 안천구 칠채동(영색무동) | 효빈광역시 안천구 칠채동 | 효빈광역시 안천구 칠채동(능릉동) | 효빈광역시 탄성군 고해읍 이와리 | 효빈광역시 탄성군 고해읍 정명리 | 효빈광역시 안천구 칠채동(융문동) | 효빈광역시 탄성군 고해읍 천가리","[-28818,36016]; [-28626,36400]; [-28562,39432]; [-27929,40368]; [-27729,40800]; [-27617,41744]; [-27529,42176]; [-27129,42992]; [-24999,42984]"
"이자중앙로","#7777aa","13755m","효빈광역시 안천구 이자1동(이자동)","효빈광역시 탄성군 도향면 분음리","효빈광역시 안천구 이자1동(이자동) | 효빈광역시 탄성군 도향면 분음리 | 효빈광역시 탄성군 정근면 익목리 | 효빈광역시 탄성군 정근면 처구리 | 효빈광역시 탄성군 고해읍 이와리","[-27906,37032]; [-27898,48792]; [-27298,49904]; [-27578,50096]; [-27650,50096]; [-27746,50016]; [-27714,49824]"
"국세로","#7777aa","1601m","효빈광역시 안천구 이자1동(신동)","효빈광역시 안천구 이자3동(이자동)","효빈광역시 안천구 이자1동(신동) | 효빈광역시 안천구 이자3동(이자동) | 효빈광역시 안천구 이자1동(이자동)","[-27025,37072]; [-28626,37064]"
"봉선로","#7777aa","1193m","효빈광역시 탄성군 소원면 윤부리","효빈광역시 안천구 이자2동(이자동)","효빈광역시 탄성군 소원면 윤부리 | 효빈광역시 안천구 이자2동(이자동)","[-27017,37768]; [-28210,37744]"
"서수로","#7777aa","970m","효빈광역시 안천구 칠채동(서수동)","효빈광역시 안천구 칠채동(영색무동)","효빈광역시 안천구 칠채동(서수동) | 효빈광역시 안천구 칠채동(영색무동)","[-27097,39104]; [-27906,39640]"
"소원로","#7777aa","1897m","효빈광역시 탄성군 소원면 소원리","효빈광역시 안천구 칠채동(영색무동)","효빈광역시 탄성군 소원면 소원리 | 효빈광역시 안천구 칠채동(영색무동) | 효빈광역시 안천구 칠채동(서수동)","[-26066,39968]; [-27963,39952]"
"소원북로","#7777aa","3652m","효빈광역시 탄성군 소원면 윤부리","효빈광역시 탄성군 소원면 소원리","효빈광역시 탄성군 소원면 윤부리 | 효빈광역시 탄성군 소원면 소원리 | 효빈광역시 탄성군 소원면 라면리","[-25330,36808]; [-25490,37104]; [-25650,38232]; [-25634,40408]"
"부우로","#7777aa","6602m","효빈광역시 탄성군 소원면 소원리","효빈광역시 안천구 칠채동(서수동)","효빈광역시 탄성군 소원면 소원리 | 효빈광역시 탄성군 소원면 라면리 | 효빈광역시 탄성군 정명리 | 효빈광역시 안천구 칠채동 | 효빈광역시 안천구 칠채동(서수동) | 효빈광역시 탄성군 소원면 부우리","[-25602,39736]; [-24777,39816]; [-24505,39968]; [-24377,40160]; [-24425,41352]; [-24689,42088]; [-25106,42016]; [-26731,40568]; [-26723,39912]"
"북항로","#7777aa","2579m","효빈광역시 탄성군 고해읍 이식리","효빈광역시 탄성군 고해읍 천가리","효빈광역시 탄성군 고해읍 이식리 | 효빈광역시 탄성군 고해읍 천가리","[-23959,44104]; [-26538,44112]"
"고해중앙로","#7777aa","4642m","효빈광역시 탄성군 고해읍 이와리","효빈광역시 탄성군 고해읍 고해리","효빈광역시 탄성군 고해읍 이와리 | 효빈광역시 탄성군 고해읍 고해리","[-26746,43032]; [-26714,44600]; [-27018,44920]; [-28191,44952]; [-28189,44602]; [-27080,44595]"
"사로","#7777aa","2246m","효빈광역시 안천구 칠채동(정치동)","효빈광역시 안천구 칠채동(남동)","효빈광역시 안천구 칠채동(정치동) | 효빈광역시 안천구 칠채동(남동)","[-29370,39330]; [-29361,41576]"
"이와로","#7777aa","2308m","효빈광역시 탄성군 고해읍 이와리","효빈광역시 탄성군 고해읍 장심리","효빈광역시 탄성군 고해읍 이와리 | 효빈광역시 탄성군 고해읍 장심리","[-27191,42991]; [-29499,43008]"
"천가로","#7777aa","4313m","효빈광역시 탄성군 고해읍 천가리","효빈광역시 탄성군 도향면 영왕리","효빈광역시 탄성군 고해읍 천가리 | 효빈광역시 탄성군 도향면 영왕리 | 효빈광역시 탄성군 고해읍 고해리","[-25982,43008]; [-26025,47321]"
"고해해안로","#7777aa","7565m","효빈광역시 탄성군 소원면 소원리","효빈광역시 탄성군 고해읍 은진원리","효빈광역시 탄성군 소원면 소원리 | 효빈광역시 탄성군 고해읍 이식리 | 효빈광역시 탄성군 도향면 시초리 | 효빈광역시 탄성군 고해읍 은진원리 | 효빈광역시 탄성군 고해읍 정명리 | 효빈광역시 탄성군 고해읍 은염리","[-25030,42048]; [-25013,45803]; [-25167,46438]; [-25510,46429]; [-28323,46429]"
"천가중앙로","#7777aa","1836m","효빈광역시 탄성군 고해읍 천가리","효빈광역시 탄성군 고해읍 이식리","효빈광역시 탄성군 고해읍 천가리 | 효빈광역시 탄성군 고해읍 이식리","[-25895,42434]; [-25484,42897]; [-25492,44114]"
"중수중앙로","#7777aa","2818m","효빈광역시 북구 중수2동(중수동)","효빈광역시 북구 채산동(실본동)","효빈광역시 북구 중수2동(중수동) | 효빈광역시 북구 채산동(실본동) | 효빈광역시 북구 중수3동(중수동)","[-24802,26640]; [-27620,26640]"
"이산로","#7777aa","974m","효빈광역시 탄성군 흑택면 명현리","효빈광역시 탄성군 흑택면 명현리","효빈광역시 탄성군 흑택면 명현리","[-33500,29804]; [-34058,29006]"
"낭월로","#7777aa","2334m","효빈광역시 탄성군 흑택면 명현리","효빈광역시 탄성군 탄성읍 고무리","효빈광역시 탄성군 흑택면 명현리 | 효빈광역시 탄성군 탄성읍 고무리 | 효빈광역시 창전구 광정동(마시동)","[-33757,28518]; [-34118,28989]; [-35859,28981]"
"고무로","#7777aa","5000m","효빈광역시 창전구 광정동(생덕동)","효빈광역시 탄성군 탄성읍 탄성리","효빈광역시 창전구 광정동(생덕동) | 효빈광역시 탄성군 탄성읍 탄성리 | 효빈광역시 탄성군 탄성읍 고무리","[-35859,26280]; [-35825,30653]; [-36031,30970]; [-36039,31219]"
"탄성해안로","#7777aa","6063m","효빈광역시 탄성군 탄성읍 고무리","효빈광역시 탄성군 서목읍 서목리","효빈광역시 탄성군 탄성읍 고무리 | 효빈광역시 탄성군 탄성읍 무성리 | 효빈광역시 탄성군 탄성읍 명무리 | 효빈광역시 탄성군 탄성읍 성규리 | 효빈광역시 탄성군 서목읍 서목리","[-36374,28235]; [-38184,28278]; [-38150,30318]; [-38321,30558]; [-38785,30610]; [-39660,31767]"
"탄성중앙로","#7777aa","2540m","효빈광역시 탄성군 흑택면 명현리","효빈광역시 탄성군 탄성읍 명무리","효빈광역시 탄성군 흑택면 명현리 | 효빈광역시 탄성군 탄성읍 명무리 | 효빈광역시 탄성군 탄성읍 탄성리","[-35730,29701]; [-38269,29761]"
"탄성역로","#7777aa","3734m","효빈광역시 탄성군 탄성읍 고무리","효빈광역시 탄성군 탄성읍 탄성리","효빈광역시 탄성군 탄성읍 고무리 | 효빈광역시 탄성군 탄성읍 탄성리","[-37094,26803]; [-37085,28475]; [-36665,29615]; [-36433,30430]"
"탄성군청로","#7777aa","7892m","효빈광역시 탄성군 탄성읍 무성리","효빈광역시 탄성군 야진읍 신리","효빈광역시 탄성군 탄성읍 무성리 | 효빈광역시 탄성군 탄성읍 탄성리 | 효빈광역시 탄성군 탄성읍 공리 | 효빈광역시 탄성군 야진읍 신리","[-37643,28852]; [-37197,29418]; [-37000,29855]; [-36708,30618]; [-36691,33088]; [-36554,33191]; [-36554,34408]; [-36547,34431]; [-36505,35121]; [-35308,35121]; [-35245,35204]"
"대광원로","#7777aa","5224m","효빈광역시 탄성군 야진읍 신리","효빈광역시 탄성군 야진읍 아득리","효빈광역시 탄성군 야진읍 신리 | 효빈광역시 탄성군 야진읍 아득리 | 효빈광역시 탄성군 야진읍 야진리","[-36512,35183]; [-36512,35364]; [-40766,35357]; [-41448,35754]"
"망한로","#7777aa","8770m","효빈광역시 탄성군 야진읍 신리","효빈광역시 탄성군 야진읍 원심리","효빈광역시 탄성군 야진읍 신리 | 효빈광역시 탄성군 야진읍 미우리 | 효빈광역시 탄성군 야진읍 원심리","[-36709,34473]; [-36730,37231]; [-36508,38199]; [-36508,39013]; [-36055,40176]; [-37322,40538]; [-37468,40880]; [-37489,42147]"
"유방로","#7777aa","6496m","효빈광역시 탄성군 야진읍 원심리","효빈광역시 탄성군 야진읍 원심리","효빈광역시 탄성군 야진읍 원심리","[-36074,38930]; [-38775,39787]; [-39415,41270]; [-40390,41124]; [-40898,41124]; [-41448,41180]"
"아율로","#7777aa","1732m","효빈광역시 탄성군 탄성읍 고무리","효빈광역시 탄성군 탄성읍 고무리","효빈광역시 탄성군 탄성읍 고무리","[-36142,27935]; [-36107,29667]"
"상루로","#7777aa","1097m","효빈광역시 탄성군 탄성읍 탄성리","효빈광역시 탄성군 탄성읍 미성리","효빈광역시 탄성군 탄성읍 탄성리 | 효빈광역시 탄성군 탄성읍 미성리","[-36716,31604]; [-37136,31896]; [-37720,31930]"
"공리로","#7777aa","1211m","효빈광역시 탄성군 탄성읍 공리","효빈광역시 탄성군 탄성읍 공리","효빈광역시 탄성군 탄성읍 공리","[-35995,33705]; [-37205,33662]"
"야진로","#7777aa","5681m","효빈광역시 탄성군 탄성읍 미성리","효빈광역시 탄성군 야진읍 원심리","효빈광역시 탄성군 탄성읍 미성리 | 효빈광역시 탄성군 야진읍 야진리 | 효빈광역시 탄성군 야진읍 원심리 | 효빈광역시 탄성군 야진읍 미우리","[-37591,32788]; [-37849,33199]; [-38398,33697]; [-38449,34451]; [-38475,34473]; [-38552,36075]; [-38573,38136]"
"성규로","#7777aa","1735m","효빈광역시 탄성군 탄성읍 명무리","효빈광역시 탄성군 탄성읍 성규리","효빈광역시 탄성군 탄성읍 명무리 | 효빈광역시 탄성군 탄성읍 성규리","[-38072,31630]; [-38526,31133]; [-39247,31913]"
"안원로","#7777aa","3846m","효빈광역시 탄성군 탄성읍 성규리","효빈광역시 탄성군 서목읍 서목리","효빈광역시 탄성군 탄성읍 성규리 | 효빈광역시 탄성군 야진읍 야진리 | 효빈광역시 탄성군 서목읍 서목리","[-38466,31141]; [-38578,32428]; [-38698,33311]; [-39101,33208]; [-39702,33019]; [-40191,32642]"
"대백로","#7777aa","1420m","효빈광역시 탄성군 탄성읍 명무리","효빈광역시 탄성군 탄성읍 성규리","효빈광역시 탄성군 탄성읍 명무리 | 효빈광역시 탄성군 탄성읍 성규리","[-38020,31604]; [-38509,32102]; [-39015,31587]"
"창율로","#7777aa","1755m","효빈광역시 탄성군 탄성읍 성규리","효빈광역시 탄성군 서목읍 서목리","효빈광역시 탄성군 탄성읍 성규리 | 효빈광역시 탄성군 서목읍 서목리","[-39024,32179]; [-39453,33216]; [-39676,33808]"
"서목로","#7777aa","4453m","효빈광역시 탄성군 서목읍 입리","효빈광역시 탄성군 서목읍 서목리","효빈광역시 탄성군 서목읍 입리 | 효빈광역시 탄성군 서목읍 서목리","[-41255,30859]; [-41169,31270]; [-40688,32891]; [-40534,33422]; [-40354,33499]; [-40011,33757]; [-39487,33937]; [-38912,33731]"
"과학로","#7777aa","3050m","효빈광역시 탄성군 서목읍 서목리","효빈광역시 탄성군 서목읍 소춘리","효빈광역시 탄성군 서목읍 서목리 | 효빈광역시 탄성군 서목읍 입리 | 효빈광역시 탄성군 서목읍 소춘리","[-39832,31488]; [-40034,31848]; [-40265,32114]; [-40184,32649]; [-40467,32984]; [-40556,33238]; [-40515,33418]; [-41081,34054]"
"승남로","#7777aa","2114m","효빈광역시 탄성군 서목읍 승남리","효빈광역시 탄성군 서목읍 승남리","효빈광역시 탄성군 서목읍 승남리","[-41358,28955]; [-41289,29881]; [-41212,30181]; [-40766,30413]; [-40405,30507]"
"사목로","#7777aa","5584m","효빈광역시 탄성군 서목읍 승남리","효빈광역시 탄성군 서목읍 일회리","효빈광역시 탄성군 서목읍 승남리 | 효빈광역시 탄성군 서목읍 입리 | 효빈광역시 탄성군 서목읍 마희리 | 효빈광역시 탄성군 서목읍 일회리","[-40551,30661]; [-41049,30833]; [-41666,30867]; [-41658,30845]; [-41909,30670]; [-42069,30399]; [-42236,30364]; [-42410,30719]; [-42473,30733]; [-42626,30510]; [-42800,30475]; [-42988,30183]; [-42953,29431]; [-43199,28686]; [-42426,28379]"
"수박로","#7777aa","6617m","효빈광역시 탄성군 서목읍 파래리","효빈광역시 탄성군 서목읍 마희리","효빈광역시 탄성군 서목읍 파래리 | 효빈광역시 탄성군 서목읍 음일리 | 효빈광역시 탄성군 서목읍 마희리 | 효빈광역시 탄성군 서목읍 록구리","[-45044,26450]; [-44654,27578]; [-44306,28532]; [-44320,28936]; [-43889,30155]; [-43854,30677]; [-43304,31478]; [-43199,31548]; [-42712,30886]; [-42475,30761]"
"유두로","#7777aa","4617m","효빈광역시 탄성군 서목읍 승남리","효빈광역시 탄성군 서목읍 음일리","효빈광역시 탄성군 서목읍 승남리 | 효빈광역시 탄성군 서목읍 입리 | 효빈광역시 탄성군 서목읍 마희리 | 효빈광역시 탄성군 서목읍 일회리 | 효빈광역시 탄성군 서목읍 음일리","[-40568,29907]; [-41469,29915]; [-41483,29920]; [-42158,29900]; [-43013,29666]; [-43600,29819]; [-44000,30020]; [-44217,30050]; [-44464,30066]; [-45055,29884]"
"오송로","#7777aa","2463m","효빈광역시 탄성군 흑택면 루비리","효빈광역시 탄성군 탄성읍 탄성리","효빈광역시 탄성군 흑택면 루비리 | 효빈광역시 탄성군 흑택면 은염리 | 효빈광역시 탄성군 탄성읍 탄성리 | 효빈광역시 탄성군 흑택면 보습리","[-33722,31690]; [-34202,31261]; [-36021,31261]"
"요우중앙로","#7777aa","4141m","효빈광역시 탄성군 도변읍 요우리","효빈광역시 탄성군 도변읍 앵내리","효빈광역시 탄성군 도변읍 요우리 | 효빈광역시 탄성군 도변읍 앵내리 | 효빈광역시 탄성군 도변읍 잠재리","[-31620,32822]; [-31671,36963]"
"앵내로","#7777aa","11049m","효빈광역시 탄성군 도변읍 앵내리","효빈광역시 탄성군 야진읍 원심리","효빈광역시 탄성군 도변읍 앵내리 | 덕빈북도 선곡군 귀총면 환내리 | 덕빈북도 선곡군 환내리 | 효빈광역시 탄성군 야진읍 원심리","[-31769,37675]; [-32241,38198]; [-34223,38181]; [-34251,38171]; [-38052,38185]; [-38566,38170]; [-38555,39612]; [-38283,40383]; [-38136,40943]; [-38260,42115]"
"선령로","#7777aa","2203m","효빈광역시 탄성군 도변읍 앵내리","효빈광역시 탄성군 고해읍 전추리","효빈광역시 탄성군 도변읍 앵내리 | 효빈광역시 탄성군 고해읍 전추리","[-31512,37778]; [-31521,39981]"
"앵내역로","#7777aa","959m","효빈광역시 탄성군 도변읍 앵내리","효빈광역시 탄성군 도변읍 앵내리","효빈광역시 탄성군 도변읍 앵내리","[-31907,37178]; [-32499,37932]"
"개산로","#7777aa","2932m","효빈광역시 안천구 이자3동(탄자동)","효빈광역시 안천구 칠채동(남동)","효빈광역시 안천구 이자3동(탄자동) | 효빈광역시 안천구 칠채동(남동) | 효빈광역시 안천구 칠채동(정치동)","[-29840,37735]; [-29832,40667]"
"효빈빈주고속도로","#964545","13984m","효빈광역시 탄성군 도변읍 잠재리","덕빈북도 선곡군 귀총면 하천원리","효빈광역시 탄성군 도변읍 잠재리 | 덕빈북도 선곡군 귀총면 갑부리 | 효빈광역시 탄성군 고해읍 전추리 | 덕빈북도 선곡군 귀총면 하천원리 | 덕빈북도 선곡군 귀총면 환내리","[-33358,35808]; [-33422,40496]; [-33294,41664]; [-30079,41648]; [-31167,43696]; [-32015,45264]; [-32191,46048]"
"효빈빈주고속도로","#964545","6499m","덕빈북도 약산시 홍하면 황천리","덕빈북도 약산시 근강면 청묘리","덕빈북도 약산시 홍하면 황천리 | 덕빈북도 약산시 근강면 청묘리 | 덕빈북도 약산시 근강면 건상리","[-27115,68560]; [-25499,68720]; [-22444,69408]; [-21069,70480]"
"효빈서해고속도로","#964545","8592m","효빈광역시 탄성군 도변읍 조일리","효빈광역시 탄성군 야진읍 아득리","효빈광역시 탄성군 도변읍 조일리 | 효빈광역시 탄성군 야진읍 미우리 | 효빈광역시 탄성군 야진읍 원심리 | 효빈광역시 탄성군 야진읍 아득리","[-33167,36528]; [-34223,36768]; [-34264,36799]; [-37063,37758]; [-38342,38158]; [-40070,38318]; [-41493,38350]"
"효빈외곽순환선","#964545","38183m","효빈광역시 북구 중수2동(중수동)","덕빈북도 약산시 성가면 당림리","효빈광역시 북구 중수2동(중수동) | 효빈광역시 북구 채산동(곡진동) | 효빈광역시 안천구 악부동(군청동) | 효빈광역시 안천구 악부동(천본동) | 효빈광역시 안천구 악부동(광상동) | 효빈광역시 탄성군 소원면 윤부리 | 효빈광역시 탄성군 소원면 라면리 | 효빈광역시 탄성군 소원면 부우리 | 효빈광역시 탄성군 고해읍 정명리 | 효빈광역시 탄성군 고해읍 이식리 | 효빈광역시 탄성군 도향면 영왕리 | 효빈광역시 탄성군 정근면 익목리 | 덕빈북도 약산시 화소읍 서판리 | 덕빈북도 약산시 성가면 당림리 | 효빈광역시 북구 채산동(습지동) | 효빈광역시 안천구 악부동(일화동) | 효빈광역시 탄성군 고해읍 은염리 | 효빈광역시 탄성군 정근면 촌주리 | 덕빈북도 약산시 화소읍 요곡리","[-24866,26896]; [-24978,29488]; [-25505,30896]; [-25601,32560]; [-25585,33920]; [-25889,35344]; [-25569,36320]; [-25297,36864]; [-24510,38928]; [-23982,40000]; [-23758,42304]; [-24142,43904]; [-25422,45312]; [-25438,47184]; [-25326,48752]; [-25278,57280]; [-23519,60944]; [-22239,63280]"
